English,French
Hello,Bonjour
Hi,Salut
Good morning,Bonjour
Good evening,Bonsoir
How are you?,Comment allez-vous ?
I am fine.,Je vais bien.
I love you.,Je t'aime.
Thank you.,Merci.
Please.,S'il vous plaît.
Excuse me.,Excusez-moi.
Where is this location?,Où se trouve cet endroit ?
How do I get there?,Comment puis-je y aller ?
What time is it?,Quelle heure est-il ?
Where can I get food?,Où puis-je manger ?
I need help.,J'ai besoin d'aide.
Hello (16),Bonjour (16)
Hi (17),Salut (17)
Good morning (18),Bonjour (18)
Good evening (19),Bonsoir (19)
How are you? (20),Comment allez-vous ? (20)
I am fine. (21),Je vais bien. (21)
I love you. (22),Je t'aime. (22)
Thank you. (23),Merci. (23)
Please. (24),S'il vous plaît. (24)
Excuse me. (25),Excusez-moi. (25)
Where is this location? (26),Où se trouve cet endroit ? (26)
How do I get there? (27),Comment puis-je y aller ? (27)
What time is it? (28),Quelle heure est-il ? (28)
Where can I get food? (29),Où puis-je manger ? (29)
I need help. (30),J'ai besoin d'aide. (30)
Hello (31),Bonjour (31)
Hi (32),Salut (32)
Good morning (33),Bonjour (33)
Good evening (34),Bonsoir (34)
How are you? (35),Comment allez-vous ? (35)
I am fine. (36),Je vais bien. (36)
I love you. (37),Je t'aime. (37)
Thank you. (38),Merci. (38)
Please. (39),S'il vous plaît. (39)
Excuse me. (40),Excusez-moi. (40)
Where is this location? (41),Où se trouve cet endroit ? (41)
How do I get there? (42),Comment puis-je y aller ? (42)
What time is it? (43),Quelle heure est-il ? (43)
Where can I get food? (44),Où puis-je manger ? (44)
I need help. (45),J'ai besoin d'aide. (45)
Hello (46),Bonjour (46)
Hi (47),Salut (47)
Good morning (48),Bonjour (48)
Good evening (49),Bonsoir (49)
How are you? (50),Comment allez-vous ? (50)
I am fine. (51),Je vais bien. (51)
I love you. (52),Je t'aime. (52)
Thank you. (53),Merci. (53)
Please. (54),S'il vous plaît. (54)
Excuse me. (55),Excusez-moi. (55)
Where is this location? (56),Où se trouve cet endroit ? (56)
How do I get there? (57),Comment puis-je y aller ? (57)
What time is it? (58),Quelle heure est-il ? (58)
Where can I get food? (59),Où puis-je manger ? (59)
I need help. (60),J'ai besoin d'aide. (60)
Hello (61),Bonjour (61)
Hi (62),Salut (62)
Good morning (63),Bonjour (63)
Good evening (64),Bonsoir (64)
How are you? (65),Comment allez-vous ? (65)
I am fine. (66),Je vais bien. (66)
I love you. (67),Je t'aime. (67)
Thank you. (68),Merci. (68)
Please. (69),S'il vous plaît. (69)
Excuse me. (70),Excusez-moi. (70)
Where is this location? (71),Où se trouve cet endroit ? (71)
How do I get there? (72),Comment puis-je y aller ? (72)
What time is it? (73),Quelle heure est-il ? (73)
Where can I get food? (74),Où puis-je manger ? (74)
I need help. (75),J'ai besoin d'aide. (75)
Hello (76),Bonjour (76)
Hi (77),Salut (77)
Good morning (78),Bonjour (78)
Good evening (79),Bonsoir (79)
How are you? (80),Comment allez-vous ? (80)
I am fine. (81),Je vais bien. (81)
I love you. (82),Je t'aime. (82)
Thank you. (83),Merci. (83)
Please. (84),S'il vous plaît. (84)
Excuse me. (85),Excusez-moi. (85)
Where is this location? (86),Où se trouve cet endroit ? (86)
How do I get there? (87),Comment puis-je y aller ? (87)
What time is it? (88),Quelle heure est-il ? (88)
Where can I get food? (89),Où puis-je manger ? (89)
I need help. (90),J'ai besoin d'aide. (90)
Hello (91),Bonjour (91)
Hi (92),Salut (92)
Good morning (93),Bonjour (93)
Good evening (94),Bonsoir (94)
How are you? (95),Comment allez-vous ? (95)
I am fine. (96),Je vais bien. (96)
I love you. (97),Je t'aime. (97)
Thank you. (98),Merci. (98)
Please. (99),S'il vous plaît. (99)
Excuse me. (100),Excusez-moi. (100)
Where is this location? (101),Où se trouve cet endroit ? (101)
How do I get there? (102),Comment puis-je y aller ? (102)
What time is it? (103),Quelle heure est-il ? (103)
Where can I get food? (104),Où puis-je manger ? (104)
I need help. (105),J'ai besoin d'aide. (105)
Hello (106),Bonjour (106)
Hi (107),Salut (107)
Good morning (108),Bonjour (108)
Good evening (109),Bonsoir (109)
How are you? (110),Comment allez-vous ? (110)
I am fine. (111),Je vais bien. (111)
I love you. (112),Je t'aime. (112)
Thank you. (113),Merci. (113)
Please. (114),S'il vous plaît. (114)
Excuse me. (115),Excusez-moi. (115)
Where is this location? (116),Où se trouve cet endroit ? (116)
How do I get there? (117),Comment puis-je y aller ? (117)
What time is it? (118),Quelle heure est-il ? (118)
Where can I get food? (119),Où puis-je manger ? (119)
I need help. (120),J'ai besoin d'aide. (120)
Hello (121),Bonjour (121)
Hi (122),Salut (122)
Good morning (123),Bonjour (123)
Good evening (124),Bonsoir (124)
How are you? (125),Comment allez-vous ? (125)
I am fine. (126),Je vais bien. (126)
I love you. (127),Je t'aime. (127)
Thank you. (128),Merci. (128)
Please. (129),S'il vous plaît. (129)
Excuse me. (130),Excusez-moi. (130)
Where is this location? (131),Où se trouve cet endroit ? (131)
How do I get there? (132),Comment puis-je y aller ? (132)
What time is it? (133),Quelle heure est-il ? (133)
Where can I get food? (134),Où puis-je manger ? (134)
I need help. (135),J'ai besoin d'aide. (135)
Hello (136),Bonjour (136)
Hi (137),Salut (137)
Good morning (138),Bonjour (138)
Good evening (139),Bonsoir (139)
How are you? (140),Comment allez-vous ? (140)
I am fine. (141),Je vais bien. (141)
I love you. (142),Je t'aime. (142)
Thank you. (143),Merci. (143)
Please. (144),S'il vous plaît. (144)
Excuse me. (145),Excusez-moi. (145)
Where is this location? (146),Où se trouve cet endroit ? (146)
How do I get there? (147),Comment puis-je y aller ? (147)
What time is it? (148),Quelle heure est-il ? (148)
Where can I get food? (149),Où puis-je manger ? (149)
I need help. (150),J'ai besoin d'aide. (150)
Hello (151),Bonjour (151)
Hi (152),Salut (152)
Good morning (153),Bonjour (153)
Good evening (154),Bonsoir (154)
How are you? (155),Comment allez-vous ? (155)
I am fine. (156),Je vais bien. (156)
I love you. (157),Je t'aime. (157)
Thank you. (158),Merci. (158)
Please. (159),S'il vous plaît. (159)
Excuse me. (160),Excusez-moi. (160)
Where is this location? (161),Où se trouve cet endroit ? (161)
How do I get there? (162),Comment puis-je y aller ? (162)
What time is it? (163),Quelle heure est-il ? (163)
Where can I get food? (164),Où puis-je manger ? (164)
I need help. (165),J'ai besoin d'aide. (165)
Hello (166),Bonjour (166)
Hi (167),Salut (167)
Good morning (168),Bonjour (168)
Good evening (169),Bonsoir (169)
How are you? (170),Comment allez-vous ? (170)
I am fine. (171),Je vais bien. (171)
I love you. (172),Je t'aime. (172)
Thank you. (173),Merci. (173)
Please. (174),S'il vous plaît. (174)
Excuse me. (175),Excusez-moi. (175)
Where is this location? (176),Où se trouve cet endroit ? (176)
How do I get there? (177),Comment puis-je y aller ? (177)
What time is it? (178),Quelle heure est-il ? (178)
Where can I get food? (179),Où puis-je manger ? (179)
I need help. (180),J'ai besoin d'aide. (180)
Hello (181),Bonjour (181)
Hi (182),Salut (182)
Good morning (183),Bonjour (183)
Good evening (184),Bonsoir (184)
How are you? (185),Comment allez-vous ? (185)
I am fine. (186),Je vais bien. (186)
I love you. (187),Je t'aime. (187)
Thank you. (188),Merci. (188)
Please. (189),S'il vous plaît. (189)
Excuse me. (190),Excusez-moi. (190)
Where is this location? (191),Où se trouve cet endroit ? (191)
How do I get there? (192),Comment puis-je y aller ? (192)
What time is it? (193),Quelle heure est-il ? (193)
Where can I get food? (194),Où puis-je manger ? (194)
I need help. (195),J'ai besoin d'aide. (195)
Hello (196),Bonjour (196)
Hi (197),Salut (197)
Good morning (198),Bonjour (198)
Good evening (199),Bonsoir (199)
How are you? (200),Comment allez-vous ? (200)
I am fine. (201),Je vais bien. (201)
I love you. (202),Je t'aime. (202)
Thank you. (203),Merci. (203)
Please. (204),S'il vous plaît. (204)
Excuse me. (205),Excusez-moi. (205)
Where is this location? (206),Où se trouve cet endroit ? (206)
How do I get there? (207),Comment puis-je y aller ? (207)
What time is it? (208),Quelle heure est-il ? (208)
Where can I get food? (209),Où puis-je manger ? (209)
I need help. (210),J'ai besoin d'aide. (210)
Hello (211),Bonjour (211)
Hi (212),Salut (212)
Good morning (213),Bonjour (213)
Good evening (214),Bonsoir (214)
How are you? (215),Comment allez-vous ? (215)
I am fine. (216),Je vais bien. (216)
I love you. (217),Je t'aime. (217)
Thank you. (218),Merci. (218)
Please. (219),S'il vous plaît. (219)
Excuse me. (220),Excusez-moi. (220)
Where is this location? (221),Où se trouve cet endroit ? (221)
How do I get there? (222),Comment puis-je y aller ? (222)
What time is it? (223),Quelle heure est-il ? (223)
Where can I get food? (224),Où puis-je manger ? (224)
I need help. (225),J'ai besoin d'aide. (225)
Hello (226),Bonjour (226)
Hi (227),Salut (227)
Good morning (228),Bonjour (228)
Good evening (229),Bonsoir (229)
How are you? (230),Comment allez-vous ? (230)
I am fine. (231),Je vais bien. (231)
I love you. (232),Je t'aime. (232)
Thank you. (233),Merci. (233)
Please. (234),S'il vous plaît. (234)
Excuse me. (235),Excusez-moi. (235)
Where is this location? (236),Où se trouve cet endroit ? (236)
How do I get there? (237),Comment puis-je y aller ? (237)
What time is it? (238),Quelle heure est-il ? (238)
Where can I get food? (239),Où puis-je manger ? (239)
I need help. (240),J'ai besoin d'aide. (240)
Hello (241),Bonjour (241)
Hi (242),Salut (242)
Good morning (243),Bonjour (243)
Good evening (244),Bonsoir (244)
How are you? (245),Comment allez-vous ? (245)
I am fine. (246),Je vais bien. (246)
I love you. (247),Je t'aime. (247)
Thank you. (248),Merci. (248)
Please. (249),S'il vous plaît. (249)
Excuse me. (250),Excusez-moi. (250)
Where is this location? (251),Où se trouve cet endroit ? (251)
How do I get there? (252),Comment puis-je y aller ? (252)
What time is it? (253),Quelle heure est-il ? (253)
Where can I get food? (254),Où puis-je manger ? (254)
I need help. (255),J'ai besoin d'aide. (255)
Hello (256),Bonjour (256)
Hi (257),Salut (257)
Good morning (258),Bonjour (258)
Good evening (259),Bonsoir (259)
How are you? (260),Comment allez-vous ? (260)
I am fine. (261),Je vais bien. (261)
I love you. (262),Je t'aime. (262)
Thank you. (263),Merci. (263)
Please. (264),S'il vous plaît. (264)
Excuse me. (265),Excusez-moi. (265)
Where is this location? (266),Où se trouve cet endroit ? (266)
How do I get there? (267),Comment puis-je y aller ? (267)
What time is it? (268),Quelle heure est-il ? (268)
Where can I get food? (269),Où puis-je manger ? (269)
I need help. (270),J'ai besoin d'aide. (270)
Hello (271),Bonjour (271)
Hi (272),Salut (272)
Good morning (273),Bonjour (273)
Good evening (274),Bonsoir (274)
How are you? (275),Comment allez-vous ? (275)
I am fine. (276),Je vais bien. (276)
I love you. (277),Je t'aime. (277)
Thank you. (278),Merci. (278)
Please. (279),S'il vous plaît. (279)
Excuse me. (280),Excusez-moi. (280)
Where is this location? (281),Où se trouve cet endroit ? (281)
How do I get there? (282),Comment puis-je y aller ? (282)
What time is it? (283),Quelle heure est-il ? (283)
Where can I get food? (284),Où puis-je manger ? (284)
I need help. (285),J'ai besoin d'aide. (285)
Hello (286),Bonjour (286)
Hi (287),Salut (287)
Good morning (288),Bonjour (288)
Good evening (289),Bonsoir (289)
How are you? (290),Comment allez-vous ? (290)
I am fine. (291),Je vais bien. (291)
I love you. (292),Je t'aime. (292)
Thank you. (293),Merci. (293)
Please. (294),S'il vous plaît. (294)
Excuse me. (295),Excusez-moi. (295)
Where is this location? (296),Où se trouve cet endroit ? (296)
How do I get there? (297),Comment puis-je y aller ? (297)
What time is it? (298),Quelle heure est-il ? (298)
Where can I get food? (299),Où puis-je manger ? (299)
I need help. (300),J'ai besoin d'aide. (300)
Hello (301),Bonjour (301)
Hi (302),Salut (302)
Good morning (303),Bonjour (303)
Good evening (304),Bonsoir (304)
How are you? (305),Comment allez-vous ? (305)
I am fine. (306),Je vais bien. (306)
I love you. (307),Je t'aime. (307)
Thank you. (308),Merci. (308)
Please. (309),S'il vous plaît. (309)
Excuse me. (310),Excusez-moi. (310)
Where is this location? (311),Où se trouve cet endroit ? (311)
How do I get there? (312),Comment puis-je y aller ? (312)
What time is it? (313),Quelle heure est-il ? (313)
Where can I get food? (314),Où puis-je manger ? (314)
I need help. (315),J'ai besoin d'aide. (315)
Hello (316),Bonjour (316)
Hi (317),Salut (317)
Good morning (318),Bonjour (318)
Good evening (319),Bonsoir (319)
How are you? (320),Comment allez-vous ? (320)
I am fine. (321),Je vais bien. (321)
I love you. (322),Je t'aime. (322)
Thank you. (323),Merci. (323)
Please. (324),S'il vous plaît. (324)
Excuse me. (325),Excusez-moi. (325)
Where is this location? (326),Où se trouve cet endroit ? (326)
How do I get there? (327),Comment puis-je y aller ? (327)
What time is it? (328),Quelle heure est-il ? (328)
Where can I get food? (329),Où puis-je manger ? (329)
I need help. (330),J'ai besoin d'aide. (330)
Hello (331),Bonjour (331)
Hi (332),Salut (332)
Good morning (333),Bonjour (333)
Good evening (334),Bonsoir (334)
How are you? (335),Comment allez-vous ? (335)
I am fine. (336),Je vais bien. (336)
I love you. (337),Je t'aime. (337)
Thank you. (338),Merci. (338)
Please. (339),S'il vous plaît. (339)
Excuse me. (340),Excusez-moi. (340)
Where is this location? (341),Où se trouve cet endroit ? (341)
How do I get there? (342),Comment puis-je y aller ? (342)
What time is it? (343),Quelle heure est-il ? (343)
Where can I get food? (344),Où puis-je manger ? (344)
I need help. (345),J'ai besoin d'aide. (345)
Hello (346),Bonjour (346)
Hi (347),Salut (347)
Good morning (348),Bonjour (348)
Good evening (349),Bonsoir (349)
How are you? (350),Comment allez-vous ? (350)
I am fine. (351),Je vais bien. (351)
I love you. (352),Je t'aime. (352)
Thank you. (353),Merci. (353)
Please. (354),S'il vous plaît. (354)
Excuse me. (355),Excusez-moi. (355)
Where is this location? (356),Où se trouve cet endroit ? (356)
How do I get there? (357),Comment puis-je y aller ? (357)
What time is it? (358),Quelle heure est-il ? (358)
Where can I get food? (359),Où puis-je manger ? (359)
I need help. (360),J'ai besoin d'aide. (360)
Hello (361),Bonjour (361)
Hi (362),Salut (362)
Good morning (363),Bonjour (363)
Good evening (364),Bonsoir (364)
How are you? (365),Comment allez-vous ? (365)
I am fine. (366),Je vais bien. (366)
I love you. (367),Je t'aime. (367)
Thank you. (368),Merci. (368)
Please. (369),S'il vous plaît. (369)
Excuse me. (370),Excusez-moi. (370)
Where is this location? (371),Où se trouve cet endroit ? (371)
How do I get there? (372),Comment puis-je y aller ? (372)
What time is it? (373),Quelle heure est-il ? (373)
Where can I get food? (374),Où puis-je manger ? (374)
I need help. (375),J'ai besoin d'aide. (375)
Hello (376),Bonjour (376)
Hi (377),Salut (377)
Good morning (378),Bonjour (378)
Good evening (379),Bonsoir (379)
How are you? (380),Comment allez-vous ? (380)
I am fine. (381),Je vais bien. (381)
I love you. (382),Je t'aime. (382)
Thank you. (383),Merci. (383)
Please. (384),S'il vous plaît. (384)
Excuse me. (385),Excusez-moi. (385)
Where is this location? (386),Où se trouve cet endroit ? (386)
How do I get there? (387),Comment puis-je y aller ? (387)
What time is it? (388),Quelle heure est-il ? (388)
Where can I get food? (389),Où puis-je manger ? (389)
I need help. (390),J'ai besoin d'aide. (390)
Hello (391),Bonjour (391)
Hi (392),Salut (392)
Good morning (393),Bonjour (393)
Good evening (394),Bonsoir (394)
How are you? (395),Comment allez-vous ? (395)
I am fine. (396),Je vais bien. (396)
I love you. (397),Je t'aime. (397)
Thank you. (398),Merci. (398)
Please. (399),S'il vous plaît. (399)
Excuse me. (400),Excusez-moi. (400)
Where is this location? (401),Où se trouve cet endroit ? (401)
How do I get there? (402),Comment puis-je y aller ? (402)
What time is it? (403),Quelle heure est-il ? (403)
Where can I get food? (404),Où puis-je manger ? (404)
I need help. (405),J'ai besoin d'aide. (405)
Hello (406),Bonjour (406)
Hi (407),Salut (407)
Good morning (408),Bonjour (408)
Good evening (409),Bonsoir (409)
How are you? (410),Comment allez-vous ? (410)
I am fine. (411),Je vais bien. (411)
I love you. (412),Je t'aime. (412)
Thank you. (413),Merci. (413)
Please. (414),S'il vous plaît. (414)
Excuse me. (415),Excusez-moi. (415)
Where is this location? (416),Où se trouve cet endroit ? (416)
How do I get there? (417),Comment puis-je y aller ? (417)
What time is it? (418),Quelle heure est-il ? (418)
Where can I get food? (419),Où puis-je manger ? (419)
I need help. (420),J'ai besoin d'aide. (420)
Hello (421),Bonjour (421)
Hi (422),Salut (422)
Good morning (423),Bonjour (423)
Good evening (424),Bonsoir (424)
How are you? (425),Comment allez-vous ? (425)
I am fine. (426),Je vais bien. (426)
I love you. (427),Je t'aime. (427)
Thank you. (428),Merci. (428)
Please. (429),S'il vous plaît. (429)
Excuse me. (430),Excusez-moi. (430)
Where is this location? (431),Où se trouve cet endroit ? (431)
How do I get there? (432),Comment puis-je y aller ? (432)
What time is it? (433),Quelle heure est-il ? (433)
Where can I get food? (434),Où puis-je manger ? (434)
I need help. (435),J'ai besoin d'aide. (435)
Hello (436),Bonjour (436)
Hi (437),Salut (437)
Good morning (438),Bonjour (438)
Good evening (439),Bonsoir (439)
How are you? (440),Comment allez-vous ? (440)
I am fine. (441),Je vais bien. (441)
I love you. (442),Je t'aime. (442)
Thank you. (443),Merci. (443)
Please. (444),S'il vous plaît. (444)
Excuse me. (445),Excusez-moi. (445)
Where is this location? (446),Où se trouve cet endroit ? (446)
How do I get there? (447),Comment puis-je y aller ? (447)
What time is it? (448),Quelle heure est-il ? (448)
Where can I get food? (449),Où puis-je manger ? (449)
I need help. (450),J'ai besoin d'aide. (450)
Hello (451),Bonjour (451)
Hi (452),Salut (452)
Good morning (453),Bonjour (453)
Good evening (454),Bonsoir (454)
How are you? (455),Comment allez-vous ? (455)
I am fine. (456),Je vais bien. (456)
I love you. (457),Je t'aime. (457)
Thank you. (458),Merci. (458)
Please. (459),S'il vous plaît. (459)
Excuse me. (460),Excusez-moi. (460)
Where is this location? (461),Où se trouve cet endroit ? (461)
How do I get there? (462),Comment puis-je y aller ? (462)
What time is it? (463),Quelle heure est-il ? (463)
Where can I get food? (464),Où puis-je manger ? (464)
I need help. (465),J'ai besoin d'aide. (465)
Hello (466),Bonjour (466)
Hi (467),Salut (467)
Good morning (468),Bonjour (468)
Good evening (469),Bonsoir (469)
How are you? (470),Comment allez-vous ? (470)
I am fine. (471),Je vais bien. (471)
I love you. (472),Je t'aime. (472)
Thank you. (473),Merci. (473)
Please. (474),S'il vous plaît. (474)
Excuse me. (475),Excusez-moi. (475)
Where is this location? (476),Où se trouve cet endroit ? (476)
How do I get there? (477),Comment puis-je y aller ? (477)
What time is it? (478),Quelle heure est-il ? (478)
Where can I get food? (479),Où puis-je manger ? (479)
I need help. (480),J'ai besoin d'aide. (480)
Hello (481),Bonjour (481)
Hi (482),Salut (482)
Good morning (483),Bonjour (483)
Good evening (484),Bonsoir (484)
How are you? (485),Comment allez-vous ? (485)
I am fine. (486),Je vais bien. (486)
I love you. (487),Je t'aime. (487)
Thank you. (488),Merci. (488)
Please. (489),S'il vous plaît. (489)
Excuse me. (490),Excusez-moi. (490)
Where is this location? (491),Où se trouve cet endroit ? (491)
How do I get there? (492),Comment puis-je y aller ? (492)
What time is it? (493),Quelle heure est-il ? (493)
Where can I get food? (494),Où puis-je manger ? (494)
I need help. (495),J'ai besoin d'aide. (495)
Hello (496),Bonjour (496)
Hi (497),Salut (497)
Good morning (498),Bonjour (498)
Good evening (499),Bonsoir (499)
How are you? (500),Comment allez-vous ? (500)
I am fine. (501),Je vais bien. (501)
I love you. (502),Je t'aime. (502)
Thank you. (503),Merci. (503)
Please. (504),S'il vous plaît. (504)
